3988693,3986119,3979063,3856315
1129181,241785,1973630,-98830
2761889,2453622,2803715,2643139
3805407,3099635,3744251,2600851
3835655,3999745,3979063,3856315
3468377,3661078,3979063,3856315
1807102,3829998,2445544,3467698
2774374,551040,1973630,-98830
2004588,2577348,2803715,2643139
2949255,3611925,2445544,3467698
2645982,3991988,2445544,3467698
3444780,2880445,3744251,2600851
3926452,2231046,3744251,2600851
3052632,2882560,2803715,2643139
3994992,2720288,3744251,2600851
3368581,1443706,3744251,2600851
2161363,1856161,1163688,2000000
3994153,3414445,3979063,3856315
2541906,2965730,2803715,2643139
600169,3131140,1163688,2000000
163617,1082438,1163688,2000000
3728368,140105,3732654,-724773
1187681,2105247,1163688,2000000
2327144,3342616,2445544,3467698
